ID,Cast,Director,Producer
10057,"Charlie Sheen , Kiefer Sutherland , Chris O'Donnell , ",Stephen Herek,Roger Birnbaum

10060,"50 Cent , Joy Bryant , Adewale Akinnuoye-Agbaje , ",Jim Sheridan,Jimmy Iovine

10061,"Kurt Russell , Stacy Keach , Steve Buscemi , ",John Carpenter,Debra Hill

10062,"Michael Madsen , Mac Fyfe , Erin Mackinnon , ",David Mitchell,Harvey Glazer

10063,"Michelle Rodriguez , Taryn Manning , Eric Lively , ",Nicholas Mastandrea,David Wicht

10064,"Morgan Freeman , LL Cool J , Justin Timberlake , ",David J. Burke,Boaz Davidson

10065,"Ryan Reynolds , Melissa George , Jesse James , ",Andrew Douglas,Michael Bay

10066,"Elisha Cuthbert , Chad Michael Murray , Brian Van Holt , ",Jaume Collet-Serra,Robert Zemeckis

10067,"Tim Allen , Kristin Davis , Danny Glover , ",Brian Robbins,Tim Allen

10068,"Mickey Rourke , Kim Basinger , Margaret Whitton , ",Adrian Lyne,Mark Damon

10069,"Jon Foster , Samaire Armstrong , Frankie Muniz , ",William Brent Bell,McG

10070,"Balthazar Getty , Henry Rollins , Navi Rawat , ",John Gulager,Joel Soisson

10071,"Will Arnett , Will Forte , Kristen Wiig , ",Bob Odenkirk,Tom Werner

10072,"Robert Englund , Heather Langenkamp , Craig Wasson , ",Chuck Russell,Robert Shaye

10073,"Alyson Hannigan , Eddie Griffin , Sophie Monk , ",Aaron Seltzer,Paul Schiff

10074,"Andy Samberg , Jorma Taccone , Bill Hader , ",Akiva Schaffer,John Goldwyn

10075,"Agnes Bruckner , Hugh Dancy , Katja Riemann , ",Katja von Garnier,Tom Rosenberg

10076,"Paul Campbell , Julian Christopher , Michael Teigen , ",Carl Bessai,Andrew Boutilier

10077,"Heike Makatsch , Armin Rohde , David Oyelowo , ",Peter Hyams,Frank Hübner

10078,"Robert Webb , David Mitchell , Sarah Hadland , ",Andrew O'Connor,Jesse Armstrong

10079,"Ed Stoppard , Tom Schilling , Bernadette Heerwagen , ",Reg Traviss,Ildikó Kemény

10080,"Donald Turner , Jill Small , Hosea L. Simmons , ",Brian Maris,Brian Maris

10081,"Jim Belushi , Louis Gossett Jr. , Rae Dawn Chong , ",Christopher Cain,Thomas H. Brodek

10083,"Kevin Costner , Gene Hackman , Will Patton , ",Roger Donaldson,Robert Garland

10084,"Vas Blackwood , Robbie Gee , Terry Stone , ",Julian Gilbey,James Hutchins

10085,"Corri English , Scot Davis , Joshua Alba , ",Jason Todd Ipson,Julio Bove

10086,"Benoît Poelvoorde , Rémy Belvaux , André Bonzel , ",Benoît Poelvoorde,Benoît Poelvoorde

10087,"Joseph Fiennes , Kristin Scott Thomas , Iain Glen , ",Régis Wargnier,Izidore Codron

10088,"David Fine , Josh McRae , Rebekah Hoyle , ",Daniel Hess,George Dykstra

10089,"David Weidoff , John Patrick Jordan , Mitch Eakins , ",Charles Band,Scott Krycia

10090,"Carlos Alazraqui , Mary Birdsong , Ben Garant , ",Ben Garant,Danny DeVito

10091,"John Evans , James Heath , David Lumby , ",James Heath,Gratian Dimech

10092,"Julian Morris , Lindy Booth , Jared Padalecki , ",Jeff Wadlow,Steven Butensky

10093,"Sarah Michelle Gellar , Peter O'Brien , Adam Scott , ",Asif Kapadia,Aaron Ryder

10094,"Scott Mechlowicz , Amelia Warner , Shaun Evans , ",Ringan Ledwidge,Tim Bevan

10095,"Brandon Largent , America Young , Karl Champley , ",Tom Lewis,Tom Lewis

10096,"Jennifer Garner , Mark Ruffalo , Judy Greer , ",Gary Winick,Susan Arnold

10097,"Brendan Gleeson , Kim Cattrall , Ciarán Hinds , ",John Boorman,John Boorman

10098,"Charlie Chaplin , Jackie Coogan , Edna Purviance , ",Charlie Chaplin,Charlie Chaplin

10100,"Ralf Moeller , Julia Stinshoff , Gregor Bloéb , ",Jorgo Papavassiliou,Hermann Joha

10102,"Marcello Mastroianni , Ugo Tognazzi , Michel Piccoli , ",Marco Ferreri,Vincent Malle

10103,"Jun Ji-hyun , Jang Hyuk , Kim Jung-tae , ",Kwak Jae-yong,William Kong

10104,"James DeBello , Chris Owen , Gable Carr , ",David Hillenbrand,Sanford Hampton

10105,"Corbin Allred , Alexander Polinsky , Kirby Heyborne , ",Ryan Little,Lawrence Bagby

10107,"Josh Hutcherson , Bruce Greenwood , Bill Nunn , ",Todd Holland,Mike Werb

10108,"Charles S. Dutton , Jay O. Sanders , Bobby Hosea , ",Tom McLoughlin,Tracey Jeffrey

10109,"Cecilia Cheung , Avi K. Garg , Lei Liu , ",Wilson Yip,Tiffany Chen

10110,"Christian Bale , John Malkovich , Miranda Richardson , ",Steven Spielberg,Steven Spielberg

10111,"Martin Freeman , Jessica Hynes , Olivia Colman , ",Debbie Isitt,May Chu

10112,"Phil Harris , Sterling Holloway , Scatman Crothers , ",Wolfgang Reitherman,Wolfgang Reitherman

10113,"Darla Albornoz , Mark Lassise , Jacky Reres , ",Kevin Kangas,Kevin Kangas

10114,"Gina Philips , Tom Sizemore , Randall Batinkoff , ",Rubi Zack,Lawrence Silverstein

10115,"Jeff Bridges , Missy Peregrym , Vanessa Lengies , ",Jessica Bendinger,Gail Lyon

10116,"Yukie Nakama , Joe Odagiri , Tomoka Kurotani , ",Ten Shimoyama,Nozomu Enoki

10117,"Carl Weathers , Craig T. Nelson , Vanity , ",Craig R. Baxley,Joel Silver

10118,"Hilary Duff , Haylie Duff , María Conchita Alonso , ",Martha Coolidge,Hilary Duff

10119,"Julia Krohn , Bernhard Naglestad , Reidar Sørensen , ",Torun Lian,Anna Croneman

10120,"Pamela Anderson , Denise Richards , Emmanuelle Vaugier , ",Bob Clark,Jeffrey Barmash

10121,"Edward Furlong , Ellen Furey , Dylan Taylor , ",Robert Wilson,Kate Harrison Karman

10122,"Joey Cramer , Paul Reubens , Veronica Cartwright , ",Randal Kleiser,Dimitri Villard

10123,"François Goeske , Paula Schramm , Lennard Bertzbach , ",Christian Ditter,Jens Oberwetter

10124,"Nathan Stephenson , James Binkley , Robert Englund , ",Bob Keen,Kate Harrison Karman

10125,"Nina Violić , Olga Pakalović , Krešimir Mikić , ",Dalibor Matanić,Jozo Patljak

10126,"Sean Penn , Robert Duvall , María Conchita Alonso , ",Dennis Hopper,Robert H. Solo

10127,"Scott Grimes , Liane Curtis , Barry Corbin , ",Mick Garris,Barry Opper

10128,"James Caan , Mandy Patinkin , Terence Stamp , ",Graham Baker,Gale Anne Hurd

10129,"Dana Vávrová , Werner Stocker , Claude-Oliver Rudolph , ",Joseph Vilsmaier,Joseph Vilsmaier

10130,"Sigourney Weaver , Bryan Brown , Julie Harris , ",Michael Apted,Arne Glimcher

10131,"Robert Englund , Tuesday Knight , Ken Sagoes , ",Renny Harlin,Robert Shaye

10132,"Eric Bogosian , Ellen Greene , Leslie Hope , ",Oliver Stone,A. Kitman Ho

10133,"Jeremy Northam , Lucy Liu , Nigel Bennett , ",Vincenzo Natali,Hunt Lowry

10134,"Jean-Claude Van Damme , Deborah Richter , Vincent Klyn , ",Albert Pyun,Menahem Golan

10135,"Patrick Swayze , Kelly Lynch , Sam Elliott , ",Rowdy Herrington,Joel Silver

10136,"Eddie Murphy , Charles Dance , Charlotte Lewis , ",Michael Ritchie,Robert D. Wachs

10137,"Michael J. Fox , Geena Davis , Hugh Laurie , ",Rob Minkoff,Douglas Wick

10138,"Robert Downey Jr. , Gwyneth Paltrow , Don Cheadle , ",Jon Favreau,Kevin Feige

10139,"Sean Penn , Emile Hirsch , Josh Brolin , ",Gus Van Sant,Bruce Cohen

10140,"Georgie Henley , Skandar Keynes , Ben Barnes , ",Michael Apted,Mark Johnson

10141,"Steve Martin , Michael Caine , Glenne Headly , ",Frank Oz,Bernard Williams

10142,"Michael J. Fox , Sean Penn , Don Harvey , ",Brian De Palma,Art Linson

10144,"Jodi Benson , Samuel E. Wright , Pat Carroll , ",Ron Clements,John Musker

10145,"Julianne Moore , Christopher Kovaleski , Matthew Pleszewicz , ",Joseph Ruben,Bruce Cohen

10146,"Heiner Lauterbach , Uwe Ochsenknecht , Ulrike Kriener , ",Doris Dörrie,Elvira Senft

10147,"Billy Bob Thornton , Tony Cox , Brett Kelly , ",Terry Zwigoff,Bob Weinstein

10148,"Rosario Dawson , Nick Robinson , T.I. , ",William H. Macy,Tucker Tooley

10149,"Harvey Keitel , William Hurt , Giancarlo Esposito , ",Wayne Wang,Peter Newman

10150,"Alan Arkin , Jeff Bridges , Mia Farrow , ",Jules Bass,Jules Bass

10151,"Stefan Gubser , Sunnyi Melles , Carlos Leal , ",Samir,Susann Rüdlinger

10152,"Derek Richardson , Eric Christian Olsen , Mimi Rogers , ",Troy Miller,Oren Koules

10153,"Dustin Hoffman , Sharon Stone , Samuel L. Jackson , ",Barry Levinson,Michael Crichton

10154,"Hugh Grant , James Caan , Jeanne Tripplehorn , ",Kelly Makin,Charles Mulvehill

10155,"Sean Penn , Nick Nolte , Jennifer Lopez , ",Oliver Stone,Richard Rutowski

10156,"Mel Brooks , Dom DeLuise , Madeline Kahn , ",Mel Brooks,Mel Brooks

10157,"Steve Guttenberg , Bubba Smith , David Graf , ",Jerry Paris,Paul Maslansky

10158,"Wesley Snipes , Woody Harrelson , Rosie Perez , ",Ron Shelton,David V. Lester

10159,"Dwayne Johnson , Seann William Scott , Rosario Dawson , ",Peter Berg,Marc Abraham

10160,"Robert Englund , Lisa Wilcox , Erika Anderson , ",Stephen Hopkins,Robert Shaye

10161,"Daniel Day-Lewis , Brenda Fricker , Alison Whelan , ",Jim Sheridan,Noel Pearson

10162,"Ian Bannen , David Kelly , Fionnula Flanagan , ",Kirk Jones,Richard Holmes

10163,"Jeff Fahey , Pierce Brosnan , Jenny Wright , ",Brett Leonard,Gimel Everett

10164,"Robin Williams , Tim Robbins , Pamela Reed , ",Roger Donaldson,Charles Roven

10165,"Frank Silvera , Kenneth Harp , Paul Mazursky , ",Stanley Kubrick,Stanley Kubrick

10166,"Anjelica Huston , Mai Zetterling , Jasen Fisher , ",Nicolas Roeg,Mark Shivas

10167,"Steven Seagal , Morris Chestnut , Ja Rule , ",Don Michael Paul,Elie Samaha

10168,"Marlon Brando , Matthew Broderick , Bruno Kirby , ",Andrew Bergman,Mike Lobell

10169,"Charlie Sheen , Emilio Estevez , Leslie Hope , ",Emilio Estevez,Cassian Elwes

10170,"Sean Connery , Michelle Pfeiffer , Roy Scheider , ",Fred Schepisi,Paul Maslansky

10171,"Sam Shepard , Julie Delpy , Barbara Sukowa , ",Volker Schlöndorff,Eberhard Junkersdorf

10172,"Ice Cube , Nia Long , John C. McGinley , ",Steve Carr,Ice Cube

10173,"Steven Seagal , Basil Wallace , Keith David , ",Dwight H. Little,Michael Grais

10174,"Madonna , Al Pacino , Kevin Costner , ",Alek Keshishian,Tim Clawson

10175,"Pietro Martellanza , Anja Gebel , Magdalena Ritter , ",Andreas Marschall,Olivera Becker

10176,"Bruno Lawrence , Alison Routledge , Anzac Wallace , ",Geoff Murphy,Sam Pillsbury

10177,"Emily Booth , Sam Butler , Jamie Honeybourne , ",Jake West,Tim Dennison

10178,"Humphrey Bogart , José Ferrer , Van Johnson , ",Edward Dmytryk,Stanley Kramer

10179,"Robert Urich , Mary Crosby , Michael D. Roberts , ",Stewart Raffill,John Foreman

10180,"Søren Pilmark , Ulrich Thomsen , Mads Mikkelsen , ",Anders Thomas Jensen,Kim Magnusson

10183,"Melissa Leo , Misty Upham , Charlie McDermott , ",Courtney Hunt,Heather Rae

10184,"Jennifer Aniston , Drew Barrymore , Jennifer Connelly , ",Ken Kwapis,Nancy Juvonen

10185,"Bradley Cooper , Vinnie Jones , Brooke Shields , ",Ryûhei Kitamura,Tom Rosenberg

10186,"Rainn Wilson , Josh Gad , Christina Applegate , ",Peter Cattaneo,Shawn Levy

10187,"Kevin Costner , Madeline Carroll , Paula Patton , ",Joshua Michael Stern,Kevin Costner

10188,"Amber Tamblyn , America Ferrera , Blake Lively , ",Sanaa Hamri,Denise Di Novi

10189,"Seth Rogen , James Franco , Gary Cole , ",David Gordon Green,Judd Apatow

10190,"Summer Bishil , Aaron Eckhart , Toni Collette , ",Alan Ball,Alan Ball

10191,"Jay Baruchel , Gerard Butler , Craig Ferguson , ",Chris Sanders,Bonnie Arnold

10192,"Mike Myers , Eddie Murphy , Cameron Diaz , ",Mike Mitchell,Teresa Cheng

10193,"Tom Hanks , Tim Allen , Joan Cusack , ",Lee Unkrich,John Lasseter

10195,"Chris Hemsworth , Natalie Portman , Tom Hiddleston , ",Kenneth Branagh,Kevin Feige

10196,"Noah Ringer , Dev Patel , Nicola Peltz , ",M. Night Shyamalan,Sam Mercer

10197,"Daniel Day-Lewis , Marion Cotillard , Penélope Cruz , ",Rob Marshall,Harvey Weinstein

10198,"Anika Noni Rose , Bruno Campos , Keith David , ",Ron Clements,Peter Del Vecho

10199,"Matthew Broderick , Dustin Hoffman , Emma Watson , ",Robert Stevenhagen,Gary Ross

10200,"Keanu Reeves , Jennifer Connelly , Jaden Smith , ",Scott Derrickson,Erwin Stoff

10201,"Jim Carrey , Zooey Deschanel , Bradley Cooper , ",Peyton Reed,Richard D. Zanuck

10202,"Adam Sandler , Keri Russell , Guy Pearce , ",Adam Shankman,Adam Sandler

10204,"Jackie Chan , Steve Coogan , Cécile de France , ",Frank Coraci,Hal Lieberman

10205,"Molly Ringwald , Frank Roberts , Kylie Minogue , ",Kimble Rendall,Bill Bennett

10206,"Kristy Swanson , Donald Sutherland , Paul Reubens , ",Fran Rubel Kuzui,Howard Rosenman

10207,"Kevin Costner , Robin Wright , Paul Newman , ",Luis Mandoki,Kevin Costner

10208,"Steve Whitmire , Dave Goelz , Bill Barretta , ",Tim Hill,Ken Kaufman

10209,"Kate Winslet , Saïd Taghmaoui , Bella Riza , ",Gillies MacKinnon,Marina Gefter

10210,"Rupert Everett , Calista Flockhart , Kevin Kline , ",Michael Hoffman,Arnon Milchan

10211,"Myriam Abbas , Dominique Horwitz , Oliver Breite , ",Andreas Dresen,Peter Rommel

10212,"Guy Pearce , Robert Carlyle , David Arquette , ",Antonia Bird,Adam Fields

10213,"Marco Leonardi , Temuera Morrison , Ara Celi , ",P.J. Pesce,Elizabeth Avellan

10214,"Jamie Kennedy , Alan Cumming , Traylor Howard , ",Lawrence Guterman,Scott Kroopf

10215,"Gwyneth Paltrow , John Hannah , John Lynch , ",Peter Howitt,Sydney Pollack

10216,"Michael Madsen , Natasha Henstridge , Marg Helgenberger , ",Peter Medak,Frank Mancuso Jr.

10217,"Ian Holm , Sarah Polley , Tom McCamus , ",Atom Egoyan,Atom Egoyan

10218,"Vince Vaughn , Jon Favreau , Heather Graham , ",Doug Liman,Victor Simpkins

10219,"Ethan Hawke , Yūki Kudō , Reeve Carney , ",Scott Hicks,Richard Vane

10220,"Matt Damon , Edward Norton , John Turturro , ",John Dahl,Ted Demme

10221,"Götz George , Corinna Harfouch , Tim Bergmann , ",Nico Hofmann,

10222,"Jean-Claude Van Damme , Dennis Alexio , Dennis Chan Kwok-San , ",David Worth,Mark DiSalle

10223,"Bill Paxton , Bridget Fonda , Billy Bob Thornton , ",Sam Raimi,Gary Levinsohn

10224,"Dennis Hopper , Heino Ferch , Katja Flint , ",Thomas Bohn,

10225,"Thom Mathews , Jennifer Cooke , David Kagen , ",Tom McLoughlin,

10226,"Cécile de France , Maïwenn , Philippe Nahon , ",Alexandre Aja,Robert Benmussa

10227,"Jacques Tati , Barbara Dennek , Rita Maiden , ",Jacques Tati,Bernard Maurice

10228,"Rica Matsumoto , Ikue Otani , Mayumi Iizuka , ",Kunihiko Yuyama,Choji Yoshikawa

10229,"Mandy Moore , Shane West , Peter Coyote , ",Adam Shankman,Denise Di Novi

10231,"Jane Russell , Jeff Chandler , Dan Duryea , ",Joseph Pevney,Aaron Rosenberg

10232,"Ingrid Caven , Rainer Werner Fassbinder , Klaus Löwitsch , ",Daniel Schmid,

10234,"Ulrich Mühe , Susanne Lothar , Arno Frisch , ",Michael Haneke,Veit Heiduschka

10235,"Nikolai Cherkasov , Nikolai Okhlopkov , Andrei Abrikosov , ",Sergei Eisenstein,

10236,"Barbra Streisand , Robert Redford , Bradford Dillman , ",Sydney Pollack,Ray Stark

10237,"Shirley Stoler , Tony Lo Bianco , Mary Jane Higby , ",Leonard Kastle,Warren Steibel

10238,"Harriet Andersson , Ingrid Thulin , Kari Sylwan , ",Ingmar Bergman,Ingmar Bergman

10239,"Marie Rivière , Béatrice Romand , Alain Libolt , ",Éric Rohmer,Françoise Etchegaray

10241,"Charlotte Véry , Frédéric van den Driessche , Michel Voletti , ",Éric Rohmer,Margaret Ménégoz

10242,"Bette Davis , Joan Crawford , Victor Buono , ",Robert Aldrich,Robert Aldrich

10243,"James Stewart , Richard Attenborough , Peter Finch , ",Robert Aldrich,Robert Aldrich

10244,"Harry Baer , Hanna Schygulla , Margarethe von Trotta , ",Rainer Werner Fassbinder,Rainer Werner Fassbinder

10246,"Dan Monahan , Mark Herrier , Wyatt Knight , ",Bob Clark,Don Carmody

10247,"Christian Slater , Elisha Cuthbert , William H. Macy , ",Frank A. Cappello,Frank A. Cappello

10248,"Gwendolyn Rich , Edward Piccin , Leo Roos , ",Mark Schippert,Dominik Kaiser

10249,"Timothy Dalton , Alan Arkin , Billy Campbell , ",Joe Johnston,Lawrence Gordon

10250,"Hazel Dean , Myiea Coy , Bill Jacobson , ",Edward Gorsuch,Michael Feifer

10251,"Ron Perlman , Amy Lalonde , Terra Vnesa , ",Warren P. Sonoda,Kate Harrison Karman

10252,"Ving Rhames , Terrence Howard , Jim Brown , ",David J. Burke,Kip Konwiser

10253,"Jason Behr , Amanda Brooks , Robert Forster , ",Sim Hyeong-Rae,James B. Kang

10254,"Dan Chupong , Nappon Gomarachun , Santisuk Promsiri , ",Panna Rittikrai,Prachya Pinkaew

10255,"Rosanne Wong , Race Wong , Anson Leung , ",Oxide Pang Chun,Danny Pang

10256,"Christopher Lambert , Corey Sevier , Charlie Hollway , ",Jenő Hódi,Adrian Politowski

10257,"Donnie Yen , Charlene Choi , Gillian Chung , ",Corey Yuen Kwei,Albert Lee

10258,"Tom McGrath , Chris Miller , Christopher Knights , ",Gary Trousdale,Teresa Cheng

10259,"Cho Jae-hyun , Kim Ji-soo , Jang Hyun-sung , ",Moon Seung-wook,

10260,"Philippe Noiret , Thierry Lhermitte , Régine , ",Claude Zidi,

10261,"Ellen Barkin , Jimmy Smits , JoBeth Williams , ",Blake Edwards,Tony Adams

10263,"Jenna Dewan , Marc Devigne , Chad Faust , ",Jeremy Haft,Chris Sievernich

10264,"Mel Gibson , Glenn Close , Alan Bates , ",Franco Zeffirelli,Dyson Lovell

10265,"Tony Leung Chiu-wai , Richie Ren Xian-Qi , Shu Qi , ",Jingle Ma Choh-Sing,Shoufang Dou

10266,"Ally Sheedy , Bobby Hosea , Michael Ironside , ",Sidney J. Furie,Curtis Petersen

10267,"Gabi Herz , Carolin Engel , Anna Griesbracher , ",Helke Sander,Susanne Schläpfer

10268,"Michel Blanc , Medeea Marinescu , Wladimir Yordanoff , ",Isabelle Mergault,Jean-Louis Livi

10269,"Barbra Streisand , Mandy Patinkin , Amy Irving , ",Barbra Streisand,Barbra Streisand

10270,"Mathis Landwehr , Esther Schweins , Volkram Zschiesche , ",Johannes Jaeger,Hermann Joha

10271,"Edouard Baer , Clovis Cornillac , Marie-Josée Croze , ",Laurent Tirard,Luc Besson

10272,"Bryan Fisher , Bree Turner , Zachary Bennett , ",Nick Stillwell,Paolo Bugliari Goggia

10273,"Pascale Ourbih , Laurent Schilling , Michele Valley , ",Pierre-Alain Meier,Xavier Grin

10274,"Christian Slater , Selma Blair , Robert Loggia , ",Harvey Kahn,Robert Lee

10275,"Jet Li , Yue Hoi , Yu Cheng-Hui , ",Cheung Yam-Yim,Liao Yi-Yuan

10276,"Bill Murray , Richard Dreyfuss , Julie Hagerty , ",Frank Oz,Bernard Williams

10278,"Vince Vaughn , Anne Heche , Joaquin Phoenix , ",Joseph Ruben,Steve Golin

10279,"John Leguizamo , Adrien Brody , Mira Sorvino , ",Spike Lee,Jon Kilik

10280,"Robert John Burke , Lucinda Jenney , Bethany Joy Lenz , ",Tom Holland,Richard P. Rubinstein

10281,"Kane Hodder , Lar Park Lincoln , Kevin Spirtas , ",John Carl Buechler,Frank Mancuso Jr.

10282,"Bernd Michael Lade , Julia Jäger , Inga Busch , ",Detlev Buck,Claus Boje

10283,"Jensen Daggett , Scott Reeves , Kane Hodder , ",Rob Hedden,Barbara Sachs

10285,"Kane Hodder , John D. LeMay , Kari Keegan , ",Adam Marcus,Sean S. Cunningham

10286,"Hafsia Herzi , Farida Khelfa , Maher Kamoun , ",Souad El-Bouhati,Jacques Kirsner

10287,"Miou-Miou , Valeria Bruni‑Tedeschi , Lambert Wilson , ",Pascal Bonitzer,Saïd Ben Saïd

10288,"Billy Connolly , Carrie-Anne Moss , Dylan Baker , ",Andrew Currie,Heidi Levitt

10289,"Daniel Auteuil , Juliette Lamboley , François Damiens , ",François Desagnat,Patrice Ledoux

10291,"Guillermo Arengo , Ana Celentano , Marina Glezer , ",Sandra Gugliotta,

10292,"Kate Mara , Robert Vito , Tina Lifford , ",Mary Lambert,Matt Bierman

10293,"Amanda Langlet , Arielle Dombasle , Pascal Greggory , ",Éric Rohmer,Margaret Ménégoz

10294,"Kate Beckinsale , Luke Wilson , Ethan Embry , ",Nimród Antal,Hal Lieberman

10295,"Terence Hill , Bud Spencer , C.B. Seay , ",Bruno Corbucci,Josi W. Konski

10296,"Danny Dyer , Neil Maskell , Frank Harper , ",Nick Love,James Richardson

10297,"Lauren Bacall , Marilyn Monroe , Betty Grable , ",Jean Negulesco,Nunnally Johnson

10299,"Bette Davis , Olivia de Havilland , Joseph Cotten , ",Robert Aldrich,Robert Aldrich

